,Mining iterations,Average mining time
Truck #363,18,177.5
Truck #364,17,191.88
Truck #365,18,184.33
Truck #366,16,207.88
Truck #367,16,203.5
Truck #368,19,167.68
Truck #369,18,178.5
Truck #370,18,177.5
Truck #371,17,187.71
Truck #372,18,174.72
Truck #373,18,177.0
Truck #374,17,191.06
Truck #375,18,178.44
Truck #376,19,172.0
Truck #377,18,177.61
Truck #378,19,167.0
Truck #379,18,179.22
Truck #380,17,190.06
Truck #381,18,177.11
Truck #382,18,178.61
Truck #383,18,180.22
Truck #384,18,186.11
Truck #385,18,187.28
Truck #386,17,197.06
Truck #387,17,197.35
Truck #388,17,196.94
Truck #389,19,172.74
Truck #390,19,168.05
Truck #391,20,161.3
Truck #392,18,182.61
Truck #393,17,196.18
Truck #394,17,188.65
Truck #395,20,153.85
Truck #396,18,175.11
Truck #397,18,176.94
Truck #398,20,158.8
Truck #399,20,163.35
Truck #400,18,180.78
Truck #401,20,162.0
Truck #402,18,188.22
Truck #403,16,204.19
Truck #404,20,163.3
Truck #405,20,158.0
Truck #406,20,165.3
Truck #407,21,144.86
Truck #408,17,200.0
Truck #409,17,199.41
Truck #410,17,192.76
Truck #411,18,179.78
Truck #412,17,195.35
Truck #413,17,190.76
Truck #414,17,189.59
Truck #415,17,201.82
Truck #416,19,162.58
Truck #417,16,205.25
Truck #418,18,175.0
Truck #419,20,160.7
Truck #420,17,190.47
Truck #421,16,210.0
Truck #422,20,162.75
Truck #423,18,178.44
Truck #424,17,190.41
Truck #425,18,185.39
Truck #426,16,209.75
Truck #427,17,191.47
Truck #428,19,168.32
Truck #429,18,176.39
Truck #430,18,180.83
Truck #431,20,156.85
Truck #432,19,161.05
Truck #433,18,193.33
Truck #434,17,190.47
Truck #435,19,161.84
Truck #436,18,192.06
Truck #437,15,222.8
Truck #438,17,196.41
Truck #439,16,218.81
Truck #440,18,178.72
Truck #441,21,142.9
Truck #442,19,172.11
Truck #443,19,170.16
Truck #444,19,163.53
Truck #445,18,181.0
Truck #446,19,163.68
Truck #447,18,180.39
Truck #448,19,165.79
Truck #449,18,173.33
Truck #450,19,166.21
Truck #451,19,167.42
Truck #452,19,172.42
Truck #453,18,181.89
Truck #454,18,175.5
Truck #455,17,195.0
Truck #456,17,204.53
Truck #457,19,160.84
Truck #458,19,167.53
Truck #459,17,188.47
Truck #460,18,178.22
Truck #461,19,166.63
Truck #462,18,178.33
Truck #463,19,170.21
Truck #464,20,153.45
Truck #465,19,164.21
Truck #466,18,176.67
Truck #467,17,199.41
Truck #468,18,174.5
Truck #469,19,161.05
Truck #470,16,219.44
Truck #471,18,187.94
Truck #472,19,162.53
Truck #473,18,173.67
Truck #474,18,173.94
Truck #475,17,188.94
Truck #476,17,193.0
Truck #477,18,185.44
Truck #478,16,207.56
Truck #479,17,189.53
Truck #480,16,211.44
Truck #481,17,190.41
Truck #482,17,193.35
Truck #483,18,182.72
Truck #484,19,164.05
Truck #485,19,168.05
Truck #486,18,190.61
Truck #487,16,203.75
Truck #488,17,193.06
Truck #489,18,182.56
Truck #490,19,164.26
Truck #491,16,211.88
Truck #492,17,191.59
Truck #493,18,181.33
Truck #494,16,208.06
Truck #495,18,189.06
Truck #496,19,169.63
Truck #497,20,157.15
Truck #498,19,164.42
Truck #499,19,164.21
